Month,sushi ,avocado,pizza,donner,wurst
4/1/2012,12,2,66,1,4
5/1/2012,12,3,63,2,6
6/1/2012,12,2,62,2,4
7/1/2012,13,2,64,3,4
8/1/2012,12,2,63,5,4
9/1/2012,13,2,66,2,4
10/1/2012,14,2,63,2,4
11/1/2012,13,2,62,2,4
12/1/2012,14,3,73,2,4
1/1/2013,15,3,62,2,4
2/1/2013,15,3,66,2,5
3/1/2013,15,3,62,2,4
4/1/2013,14,3,63,2,4
5/1/2013,14,3,65,2,5
6/1/2013,12,3,62,2,4
7/1/2013,12,3,64,2,7
8/1/2013,14,3,70,2,5
9/1/2013,13,2,67,2,4
10/1/2013,14,3,67,2,4
11/1/2013,15,3,67,2,4
12/1/2013,14,3,72,2,5
1/1/2014,16,5,65,2,4
2/1/2014,17,5,66,2,4
3/1/2014,15,5,66,2,6
4/1/2014,14,5,66,2,5
5/1/2014,13,5,64,2,74
6/1/2014,12,4,64,2,9
7/1/2014,13,4,65,2,7
8/1/2014,16,4,77,2,7
9/1/2014,14,4,62,2,6
10/1/2014,15,4,68,2,7
11/1/2014,15,4,69,2,7
12/1/2014,19,4,78,2,10
1/1/2015,17,5,66,2,7
2/1/2015,19,6,72,2,7
3/1/2015,17,6,68,2,7
4/1/2015,15,6,70,2,7
5/1/2015,16,6,72,2,10
6/1/2015,13,6,65,2,6
7/1/2015,14,5,69,3,6
8/1/2015,16,5,74,2,5
9/1/2015,17,5,70,2,5
10/1/2015,18,5,72,2,7
11/1/2015,19,5,70,2,6
12/1/2015,19,5,76,2,6
1/1/2016,20,7,81,2,6
2/1/2016,19,8,73,2,6
3/1/2016,19,9,74,2,6
4/1/2016,17,8,70,2,5
5/1/2016,17,8,74,2,8
6/1/2016,15,7,70,3,6
7/1/2016,17,8,81,2,5
8/1/2016,18,7,75,2,5
9/1/2016,18,6,76,2,5
10/1/2016,20,7,76,2,6
11/1/2016,19,7,70,2,6
12/1/2016,19,7,81,2,6
1/1/2017,20,9,79,2,6
2/1/2017,21,11,78,2,6
3/1/2017,20,10,76,2,5
4/1/2017,20,10,79,2,5
5/1/2017,17,9,71,2,6
6/1/2017,17,8,73,2,5
7/1/2017,19,8,81,2,5
8/1/2017,20,7,80,2,5
9/1/2017,19,7,76,1,5
10/1/2017,21,7,81,2,5
11/1/2017,20,7,73,2,6
12/1/2017,21,7,85,2,6
1/1/2018,21,10,76,2,5
2/1/2018,24,11,78,2,6
3/1/2018,22,10,81,1,6
4/1/2018,19,9,73,2,6
5/1/2018,18,8,76,2,5
6/1/2018,18,8,72,2,6
7/1/2018,19,10,76,1,5
8/1/2018,20,8,79,2,6
9/1/2018,21,7,75,1,5
10/1/2018,21,8,81,1,5
11/1/2018,20,7,77,1,6
12/1/2018,21,7,84,1,6
1/1/2019,22,10,75,1,5
2/1/2019,25,10,79,1,5
3/1/2019,23,11,75,1,7
4/1/2019,20,9,75,1,5
5/1/2019,21,9,72,1,6
6/1/2019,19,9,76,2,5
7/1/2019,21,8,79,2,5
8/1/2019,23,8,80,2,5
9/1/2019,21,6,74,2,5
10/1/2019,22,7,74,1,19
11/1/2019,21,7,74,1,8
12/1/2019,22,6,87,1,7
1/1/2020,24,10,78,1,6
2/1/2020,23,11,81,1,6
3/1/2020,15,9,66,1,5
4/1/2020,18,11,85,1,6
5/1/2020,22,10,100,1,6
6/1/2020,24,10,86,2,6
7/1/2020,25,11,87,1,6
8/1/2020,25,9,93,2,5
9/1/2020,25,7,85,1,7
10/1/2020,25,7,85,1,5
11/1/2020,21,7,79,1,5
12/1/2020,23,8,84,1,6
1/1/2021,26,11,83,1,6
2/1/2021,26,11,82,1,6
3/1/2021,24,9,80,1,5
4/1/2021,24,9,82,1,5
5/1/2021,24,8,84,1,6
6/1/2021,23,8,81,3,5
7/1/2021,28,8,86,2,5
8/1/2021,31,7,97,2,5
9/1/2021,26,7,82,1,5
10/1/2021,32,7,89,1,6
11/1/2021,26,6,78,1,6
12/1/2021,31,8,92,1,6
1/1/2022,37,10,93,1,6
2/1/2022,36,10,90,1,6
3/1/2022,30,10,82,1,6
4/1/2022,32,9,91,1,6
5/1/2022,28,9,83,2,6
6/1/2022,28,9,88,2,6
7/1/2022,30,9,93,2,6
8/1/2022,32,9,93,2,6
9/1/2022,30,8,87,2,6
10/1/2022,32,7,91,2,6
11/1/2022,30,7,87,1,6
12/1/2022,32,8,92,2,7
1/1/2023,36,10,89,1,6
2/1/2023,35,11,90,1,6
3/1/2023,30,11,82,2,6
4/1/2023,30,9,89,1,6
5/1/2023,27,10,88,2,6
6/1/2023,26,10,86,2,6
